time_ms,bid,ask,bid_vol,ask_vol
1774976865260,46.27935,46.28625,956016770,956016770
1774976865811,46.27835,46.28525,956016770,956016770
1774976866968,46.27515,46.28215,956016770,956016770
1774976867829,46.27605,46.28295,956016770,956016770
1774976868284,46.27625,46.28325,956016770,956016770
1774976868335,46.27565,46.28255,956016770,956016770
1774976868436,46.27585,46.28275,956016770,956016770
1774976871098,46.27615,46.28305,956016770,951893602
1774976871149,46.27655,46.28355,956016770,956016770
1774976871651,46.27635,46.28335,956016770,956016770
1774976872455,46.27815,46.28505,956016770,956016770
1774976873259,46.27775,46.28465,956016770,956016770
1774976873309,46.27485,46.28185,956016770,956016770
1774976873411,46.27335,46.28035,956016770,956016770
1774976873512,46.27315,46.28005,956016770,956016770
1774976874667,46.27365,46.28065,956016770,956016770
1774976874718,46.27295,46.27985,956016770,956016770
1774976875470,46.27275,46.27965,956016770,956016770
1774976877032,46.27365,46.28065,956016770,956016770
1774976877082,46.27235,46.27925,956016770,956016770
1774976877284,46.27165,46.27865,956016770,956016770
1774976878137,46.27185,46.27885,956016770,956016770
1774976878238,46.27215,46.27915,956016770,956016770
1774976878844,46.27135,46.27835,956016770,956016770
1774976879547,46.27155,46.27855,956016770,956016770
1774976879748,46.27115,46.27815,956016770,956016770
1774976880603,46.27075,46.27765,956016770,956016770
1774976882787,46.27115,46.27815,956016770,956016770
1774976883190,46.27465,46.28165,956016770,956016770
1774976883291,46.27435,46.28125,956016770,956016770
1774976883392,46.27405,46.28095,956016770,956016770
1774976883996,46.27325,46.28015,956016770,956016770
1774976884046,46.27385,46.28085,956016770,956016770
1774976886308,46.27365,46.28065,956016770,956016770
1774976886459,46.27395,46.28085,956016770,956016770
1774976887628,46.27345,46.28045,956016770,956016770
1774976888984,46.27315,46.28005,956016770,956016770
1774976889085,46.27295,46.27985,956016770,956016770
1774976892496,46.27085,46.27785,956016770,956016770
1774976892648,46.27095,46.27785,956016770,956016770
1774976893301,46.27085,46.27785,956016770,956016770
1774976894005,46.27165,46.27865,956016770,956016770
1774976894157,46.27095,46.27795,956016770,956016770
1774976894258,46.27175,46.27865,956016770,956016770
1774976894476,46.27135,46.27825,956016770,956016770
1774976894582,46.26945,46.27635,956016770,956016770
1774976894683,46.26965,46.27655,956016770,956016770
1774976895390,46.27005,46.27695,956016770,956016770
1774976895441,46.26965,46.27665,956016770,956016770
1774976896296,46.26935,46.27635,956016770,956016770
1774976896447,46.26965,46.27665,956016770,956016770
1774976897000,46.27005,46.27705,951893602,956016770
1774976897101,46.26975,46.27675,956016770,956016770
1774976897202,46.27015,46.27715,956016770,956016770
1774976897957,46.26955,46.27652,956016770,956016770
1774976898113,46.26915,46.27615,956016770,956016770
1774976898164,46.26945,46.27552,951893602,956016770
1774976898315,46.26915,46.27552,951893602,956016770
1774976898366,46.26415,46.27115,956016770,956016770
1774976898567,46.26445,46.27145,956016770,956016770
1774976898970,46.26475,46.27165,956016770,956016770
1774976899021,46.26585,46.27285,956016770,956016770
1774976899173,46.26565,46.27265,956016770,956016770
1774976899576,46.26585,46.27285,956016770,956016770
1774976899678,46.26635,46.27335,956016770,956016770
1774976900432,46.26595,46.27295,956016770,956016770
1774976901638,46.27025,46.27715,956016770,956016770
1774976901740,46.26945,46.27635,951893602,956016770
1774976901841,46.26885,46.27575,956016770,956016770
1774976902394,46.26845,46.27545,956016770,956016770
1774976902445,46.27005,46.27705,956016770,956016770
1774976902546,46.26995,46.27695,956016770,956016770
1774976903100,46.27015,46.27715,956016770,956016770
1774976903201,46.26985,46.27675,956016770,956016770
1774976903808,46.27015,46.27705,956016770,956016770
1774976903909,46.27045,46.27735,956016770,956016770
1774976904162,46.27255,46.27955,956016770,956016770
1774976904212,46.27185,46.27885,956016770,956016770
1774976904615,46.27275,46.27975,956016770,956016770
1774976904716,46.27225,46.27925,956016770,956016770
1774976904999,46.27205,46.27895,956016770,956016770
1774976905101,46.27225,46.27915,956016770,956016770
1774976905202,46.27255,46.27955,956016770,956016770
1774976905252,46.27235,46.27925,956016770,956016770
1774976905354,46.26925,46.27615,956016770,956016770
1774976905455,46.26955,46.27645,956016770,956016770
1774976905556,46.26755,46.27455,956016770,956016770
1774976905863,46.26725,46.27425,956016770,951893602
1774976905964,46.26855,46.27555,956016770,956016770
1774976906065,46.26955,46.27655,956016770,956016770
1774976906316,46.26795,46.27495,956016770,956016770
1774976906568,46.26825,46.27525,956016770,956016770
1774976906669,46.26805,46.27505,956016770,956016770
1774976906770,46.26945,46.27645,956016770,956016770
1774976907473,46.26955,46.27645,956016770,956016770
1774976908477,46.26945,46.27645,956016770,956016770
1774976909062,46.26905,46.27595,956016770,956016770
1774976909873,46.26905,46.27605,956016770,956016770
1774976909924,46.26885,46.27585,956016770,956016770
1774976910026,46.26568,46.27215,956016770,956016770
1774976910077,46.26615,46.27315,956016770,956016770
1774976913037,46.26655,46.27345,956016770,956016770
1774976913088,46.26805,46.27505,956016770,956016770
1774976913138,46.26715,46.27415,956016770,956016770
1774976914093,46.26605,46.27305,956016770,956016770
1774976915147,46.26085,46.26775,956016770,956016770
1774976915198,46.26015,46.26715,956016770,956016770
1774976915248,46.26055,46.26745,956016770,956016770
1774976915299,46.26005,46.26705,956016770,956016770
1774976916054,46.26085,46.26775,956016770,956016770
1774976916115,46.26105,46.26805,956016770,956016770
1774976916217,46.26145,46.26845,956016770,956016770
1774976916318,46.26115,46.26815,956016770,956016770
1774976917423,46.26095,46.26795,956016770,956016770
1774976917524,46.26225,46.26915,956016770,956016770
1774976918176,46.26265,46.26955,956016770,951893602
1774976918227,46.26295,46.26995,956016770,956016770
1774976918380,46.26365,46.27055,956016770,956016770
1774976918481,46.26675,46.27365,956016770,956016770
1774976918582,46.26735,46.27425,956016770,956016770
1774976918733,46.26655,46.27355,956016770,956016770
1774976918935,46.26635,46.27325,956016770,956016770
1774976919740,46.26595,46.27285,956016770,956016770
1774976919841,46.26525,46.27215,956016770,956016770
1774976920243,46.26485,46.27185,956016770,956016770
1774976920344,46.26555,46.27245,956016770,956016770
1774976921099,46.26625,46.27325,956016770,956016770
1774976921150,46.26665,46.27365,956016770,956016770
1774976922540,46.26635,46.27335,956016770,956016770
1774976922641,46.26575,46.27275,956016770,956016770
1774976923095,46.26475,46.27165,956016770,956016770
1774976923146,46.26365,46.27065,956016770,956016770
1774976923749,46.26345,46.27035,956016770,956016770
1774976923800,46.26285,46.26985,956016770,956016770
1774976924756,46.26315,46.27005,956016770,956016770
1774976924857,46.26245,46.26935,956016770,956016770
1774976925008,46.26305,46.26995,956016770,956016770
1774976925611,46.26335,46.27025,956016770,956016770
1774976925661,46.26375,46.27075,956016770,956016770
1774976926420,46.26355,46.27055,956016770,956016770
1774976926598,46.26425,46.27125,956016770,956016770
1774976927050,46.26405,46.27105,956016770,956016770
1774976927302,46.26345,46.27035,956016770,956016770
1774976930419,46.26375,46.27065,956016770,956016770
1774976930671,46.26325,46.27025,956016770,956016770
1774976930772,46.26305,46.26995,956016770,956016770
1774976930873,46.26165,46.26855,956016770,956016770
1774976932331,46.26095,46.26785,956016770,956016770
1774976932984,46.26165,46.26855,956016770,956016770
1774976933510,46.26175,46.26865,956016770,956016770
1774976934166,46.26145,46.26845,956016770,956016770
1774976934217,46.26115,46.26815,956016770,956016770
1774976934318,46.26155,46.26855,956016770,956016770
1774976935324,46.26145,46.26845,956016770,956016770
1774976935827,46.26175,46.26875,956016770,956016770
1774976935928,46.26195,46.26895,956016770,956016770
1774976936080,46.26295,46.26985,956016770,956016770
1774976936334,46.26245,46.26935,956016770,956016770
1774976937189,46.26095,46.26795,956016770,956016770
1774976937290,46.26085,46.26785,956016770,956016770
1774976938427,46.26125,46.26825,956016770,956016770
1774976938533,46.26065,46.26755,956016770,956016770
